analysis_pair_id,source_pair_id,evidence_origin,session_index,block_order,fast_cycle_id,slow_cycle_id,fast_endpoint_squared_residual,slow_endpoint_squared_residual
hardware::session00-cyclepair16,session00-cyclepair16,hardware_session0,0,fast_then_slow,session00-block00-cycle16,session00-block01-cycle16,0.00014394506040925456,0.0011805470515103885
hardware::session00-cyclepair17,session00-cyclepair17,hardware_session0,0,fast_then_slow,session00-block00-cycle17,session00-block01-cycle17,0.0015872415577923682,0.0030284861196125897
hardware::session00-cyclepair18,session00-cyclepair18,hardware_session0,0,fast_then_slow,session00-block00-cycle18,session00-block01-cycle18,0.0021158632729857646,0.0007816616050892669
hardware::session00-cyclepair19,session00-cyclepair19,hardware_session0,0,fast_then_slow,session00-block00-cycle19,session00-block01-cycle19,5.183117087376921e-05,0.008267436997419074
simulation::session01-cyclepair00,session01-cyclepair00,simulation_session1,1,slow_then_fast,session01-block01-cycle00,session01-block00-cycle00,0.00034572817468415327,0.002857331372981598
simulation::session01-cyclepair01,session01-cyclepair01,simulation_session1,1,slow_then_fast,session01-block01-cycle01,session01-block00-cycle01,0.00020831606276824343,0.0013791593240279306
simulation::session01-cyclepair02,session01-cyclepair02,simulation_session1,1,slow_then_fast,session01-block01-cycle02,session01-block00-cycle02,0.00028629221796215256,0.0006716441023052615
simulation::session01-cyclepair03,session01-cyclepair03,simulation_session1,1,slow_then_fast,session01-block01-cycle03,session01-block00-cycle03,0.0022083322068432642,0.0013836337642896591
simulation::session01-cyclepair04,session01-cyclepair04,simulation_session1,1,slow_then_fast,session01-block01-cycle04,session01-block00-cycle04,0.000475967367650585,0.0009648131829899298
simulation::session01-cyclepair05,session01-cyclepair05,simulation_session1,1,slow_then_fast,session01-block01-cycle05,session01-block00-cycle05,0.0016070469905142355,0.005535235084467943
simulation::session01-cyclepair06,session01-cyclepair06,simulation_session1,1,slow_then_fast,session01-block01-cycle06,session01-block00-cycle06,0.0013133814296963442,0.002168819976971701
simulation::session01-cyclepair07,session01-cyclepair07,simulation_session1,1,slow_then_fast,session01-block01-cycle07,session01-block00-cycle07,0.006485165437998052,0.0018005345711211407
simulation::session01-cyclepair08,session01-cyclepair08,simulation_session1,1,slow_then_fast,session01-block01-cycle08,session01-block00-cycle08,0.0006942451964084133,0.004183763254764565
simulation::session01-cyclepair09,session01-cyclepair09,simulation_session1,1,slow_then_fast,session01-block01-cycle09,session01-block00-cycle09,0.0015815211886440758,0.012722463437736352
simulation::session01-cyclepair10,session01-cyclepair10,simulation_session1,1,slow_then_fast,session01-block01-cycle10,session01-block00-cycle10,0.0017423976990433355,0.0014415743758795373
simulation::session01-cyclepair11,session01-cyclepair11,simulation_session1,1,slow_then_fast,session01-block01-cycle11,session01-block00-cycle11,0.0008101989830842936,0.0017552956343314127
simulation::session01-cyclepair12,session01-cyclepair12,simulation_session1,1,slow_then_fast,session01-block01-cycle12,session01-block00-cycle12,0.0002116123267890878,0.0004533888889183916
simulation::session01-cyclepair13,session01-cyclepair13,simulation_session1,1,slow_then_fast,session01-block01-cycle13,session01-block00-cycle13,0.0006589795581570421,0.006128930323231704
simulation::session01-cyclepair14,session01-cyclepair14,simulation_session1,1,slow_then_fast,session01-block01-cycle14,session01-block00-cycle14,0.001962445924353616,0.0054258214720955805
simulation::session01-cyclepair15,session01-cyclepair15,simulation_session1,1,slow_then_fast,session01-block01-cycle15,session01-block00-cycle15,0.0025536265151420785,0.006890035282590112
simulation::session01-cyclepair16,session01-cyclepair16,simulation_session1,1,slow_then_fast,session01-block01-cycle16,session01-block00-cycle16,0.0009504560816568625,0.002465412610667276
simulation::session01-cyclepair17,session01-cyclepair17,simulation_session1,1,slow_then_fast,session01-block01-cycle17,session01-block00-cycle17,0.0004639411465099807,0.004648154376980716
simulation::session01-cyclepair18,session01-cyclepair18,simulation_session1,1,slow_then_fast,session01-block01-cycle18,session01-block00-cycle18,0.0004791915471733541,0.0012390636233270901
simulation::session01-cyclepair19,session01-cyclepair19,simulation_session1,1,slow_then_fast,session01-block01-cycle19,session01-block00-cycle19,0.0005475282191953439,0.002925984885199114
